# Alpha Persei Stellar Mass Catalogue
#
# Astrometric and photometric catalogue of candidate cluster members.
#
# Coordinate system: ICRS
# Astrometry: Gaia DR3
# Supplementary photometry: UKIDSS where available.
#
# ra            Right ascension (ICRS, J2000)                     deg
# dec           Declination (ICRS, J2000)                         deg
# par           Parallax                                          mas
# epar          Uncertainty in parallax                           mas
# pmra          Proper motion in RA x cos(Dec)                    mas yr^-1
# epmra         Uncertainty in pmra                               mas yr^-1
# pmdec         Proper motion in Declination                      mas yr^-1
# epmdec        Uncertainty in pmdec                              mas yr^-1
# gmag          Gaia G-band apparent magnitude                    mag
# g_flux        Gaia G-band flux                                  e- s^-1
# g_flux_err    Uncertainty in Gaia G-band flux                   e- s^-1
# bmag          Gaia BP-band apparent magnitude                   mag
# b_flux        Gaia BP-band flux                                 e- s^-1
# b_flux_err    Uncertainty in Gaia BP-band flux                  e- s^-1
# rmag          Gaia RP-band apparent magnitude                   mag
# r_flux        Gaia RP-band flux                                 e- s^-1
# r_flux_err    Uncertainty in Gaia RP-band flux                  e- s^-1
# g_r           Gaia G-RP colour                                  mag
# rv            Radial velocity                                   km s^-1
# rv_err        Uncertainty in radial velocity                    km s^-1
# egmag         Uncertainty in G-band magnitude                   mag
# ebmag         Uncertainty in BP-band magnitude                  mag
# ermag         Uncertainty in RP-band magnitude                  mag
# eg_r          Uncertainty in G-RP colour                        mag
# Survey        Source of supplementary infrared photometry       -
# zmag          UKIDSS Z-band magnitude                           mag
# ezmag         Uncertainty in Z-band magnitude                   mag
# ymag          UKIDSS Y-band magnitude                           mag
# eymag         Uncertainty in Y-band magnitude                   mag
# jmag          UKIDSS J-band magnitude                           mag
# ejmag         Uncertainty in J-band magnitude                   mag
# hmag          UKIDSS H-band magnitude                           mag
# ehmag         Uncertainty in H-band magnitude                   mag
# kmag          UKIDSS K-band magnitude                           mag
# ekmag         Uncertainty in K-band magnitude                   mag
# z_y           Z-Y colour                                        mag
# ez_y          Uncertainty in Z-Y colour                         mag
# y_j           Y-J colour                                        mag
# ey_j          Uncertainty in Y-J colour                         mag
# j_h           J-H colour                                        mag
# ej_h          Uncertainty in J-H colour                         mag
# h_k           H-K colour                                        mag
# eh_k          Uncertainty in H-K colour                         mag
# G_ABS         Absolute Gaia G-band magnitude                    mag
# B_ABS         Absolute Gaia BP-band magnitude                   mag
# R_ABS         Absolute Gaia RP-band magnitude                   mag
# eG_ABS        Uncertainty in absolute G magnitude               mag
# eB_ABS        Uncertainty in absolute BP magnitude              mag
# eR_ABS        Uncertainty in absolute RP magnitude              mag
# Mass_pc       Stellar mass from PARSEC isochrones              Msun
# eMass_pc      Uncertainty in PARSEC stellar mass               Msun
# Mass_mst      Stellar mass from MIST isochrones                Msun
# eMass_mst     Uncertainty in MIST stellar mass                 Msun
# Mass_ML       Stellar mass from empirical m-L relation         Msun
# eMass_ML      Uncertainty in empirical stellar mass            Msun
#
# Missing values are represented by NaN.
#
       ra       dec      par     epar      pmra     epmra      pmdec    epmdec      gmag           g_flux    g_flux_err      bmag           b_flux    b_flux_err      rmag           r_flux    r_flux_err       g_r         rv    rv_err    egmag    ebmag    ermag     eg_r Survey      zmag    ezmag      ymag    eymag      jmag              ejmag      hmag              ehmag      kmag    ekmag       z_y     ez_y       y_j               ey_j       j_h               ej_h                h_k               eh_k     G_ABS     B_ABS     R_ABS   eG_ABS   eB_ABS   eR_ABS  Mass_pc  eMass_pc  Mass_mst  eMass_mst  Mass_ML  eMass_ML
47.350999 45.382954 5.413195 0.032097 23.144207  0.036451 -22.754394  0.030553  8.072505  11115905.896455   3224.170700  8.109416   7792024.443220   2533.584700  7.967967   5151947.810403   2313.900600  0.104538  -2.138456  0.993543 0.000315 0.000353 0.000488 0.000580    G+H       NaN      NaN       NaN      NaN       NaN                NaN       NaN                NaN       NaN      NaN       NaN      NaN       NaN                NaN       NaN                NaN                NaN                NaN  1.739773  1.776684  1.635235 0.012880 0.012881 0.012885 2.198947  0.005311  2.240404   0.006042      NaN       NaN
47.928929 52.163356 5.650027 0.030472 23.583882  0.026622 -24.061628  0.027117  6.872711  33563130.936674  10734.816000  6.873466  24323749.677071  17905.998000  6.827776  14724742.354113   8555.444000  0.044934   4.698649  0.843652 0.000347 0.000799 0.000631 0.000720    G+H       NaN      NaN       NaN      NaN       NaN                NaN       NaN                NaN       NaN      NaN       NaN      NaN       NaN                NaN       NaN                NaN                NaN                NaN  0.632963  0.633718  0.588029 0.011716 0.011738 0.011728 3.168310  0.006793  3.240498   0.007245      NaN       NaN
52.359678 46.937752 6.080066 0.031241 23.229755  0.033370 -25.764435  0.030191  6.177663  63662180.654344  16751.234000  6.236502  43733676.191427  40400.344000  6.025448  30830378.921767  24919.775000  0.152215        NaN       NaN 0.000286 0.001003 0.000878 0.000923    G+H       NaN      NaN       NaN      NaN       NaN                NaN       NaN                NaN       NaN      NaN       NaN      NaN       NaN                NaN       NaN                NaN                NaN                NaN  0.097205  0.156043 -0.055010 0.011161 0.011203 0.011192 3.742391  0.006686  3.821367   0.007750      NaN       NaN
51.217193 47.915012 5.579306 0.025415 22.687123  0.025888 -25.059688  0.026028  7.621414  16841512.036055   5510.503000  7.673583  11640825.119405   6871.647500  7.483087   8052362.615604   3801.127400  0.138327   0.622295  0.322562 0.000355 0.000641 0.000513 0.000624      G       NaN      NaN       NaN      NaN       NaN                NaN       NaN                NaN       NaN      NaN       NaN      NaN       NaN                NaN       NaN                NaN                NaN                NaN  1.354315  1.406484  1.215988 0.009898 0.009912 0.009905 2.508685  0.004859  2.557001   0.004990      NaN       NaN
51.407060 47.020531 5.618432 0.018529 23.199369  0.019870 -24.864245  0.017322  8.912530   5127841.969967   1182.746200  9.044127   3294324.940252   1441.700700  8.662431   2717603.322735    748.406900  0.250099   0.073326  0.548273 0.000250 0.000475 0.000299 0.000390    G+U 11.772293 0.000884 11.903736 0.000934 10.319964           0.000577 10.907998           0.000650  9.438492 0.000284 -0.131443 0.001286  1.583772           0.001098 -0.588034           0.000869           1.469506           0.000709  2.660606  2.792202  2.410507 0.007166 0.007177 0.007167 1.671046  0.001708  1.690036   0.001780      NaN       NaN
51.636220 47.266309 5.862284 0.032950 23.317887  0.042465 -26.054597  0.030900  8.152738  10324086.717412   3228.707800  8.233938   6947710.066751   2792.822300  7.975865   5114604.119499   1941.565400  0.176872  -9.204958  0.603911 0.000340 0.000436 0.000412 0.000534    G+H       NaN      NaN       NaN      NaN       NaN                NaN       NaN                NaN       NaN      NaN       NaN      NaN       NaN                NaN       NaN                NaN                NaN                NaN  1.993072  2.074272  1.816200 0.012210 0.012213 0.012212 2.028475  0.004788  2.061127   0.004984      NaN       NaN
47.016219 52.213408 5.371526 0.042070 23.027747  0.031308 -22.840814  0.039156  6.302977  56722591.961473  27827.855000  6.285806  41792146.195246  64289.690000  6.291295  24134619.521928  39744.490000  0.011682        NaN       NaN 0.000533 0.001670 0.001788 0.001866    G+H       NaN      NaN       NaN      NaN       NaN                NaN       NaN                NaN       NaN      NaN       NaN      NaN       NaN                NaN       NaN                NaN                NaN                NaN -0.046535 -0.063706 -0.058217 0.017015 0.017089 0.017101 3.874597  0.010718  3.957478   0.010884      NaN       NaN
48.177889 47.838491 5.880571 0.016466 24.605506  0.016171 -25.113368  0.014684  8.921372   5086251.293134    976.010200  9.080392   3186104.731929   1163.683700  8.628620   2803562.012053    733.680300  0.292752   1.206717  1.291671 0.000208 0.000397 0.000284 0.000352    G+H       NaN      NaN       NaN      NaN       NaN                NaN       NaN                NaN       NaN      NaN       NaN      NaN       NaN                NaN       NaN                NaN                NaN                NaN  2.768469  2.927489  2.475717 0.006084 0.006093 0.006087 1.628955  0.001349  1.644790   0.001355      NaN       NaN
50.947382 48.604307 5.599021 0.041186 25.528837  0.045417 -24.302869  0.038638  6.979063  30431370.558132  12643.741000  6.973479  22183254.634385  12886.472000  6.939473  13285226.939335   6992.080600  0.039590   4.222033  0.782403 0.000451 0.000631 0.000571 0.000728    G+H       NaN      NaN       NaN      NaN       NaN                NaN       NaN                NaN       NaN      NaN       NaN      NaN       NaN                NaN       NaN                NaN                NaN                NaN  0.719623  0.714040  0.680033 0.015980 0.015986 0.015983 3.082799  0.009097  3.149933   0.009906      NaN       NaN
49.947058 48.627809 5.644116 0.030967 23.124966  0.034945 -25.097267  0.033832  7.643894  16496403.537938   5382.656200  7.669612  11683482.439379  10010.178000  7.557180   7521187.030769   3177.491200  0.086714   1.317247  0.842002 0.000354 0.000930 0.000459 0.000580    G+H       NaN      NaN       NaN      NaN       NaN                NaN       NaN                NaN       NaN      NaN       NaN      NaN       NaN                NaN       NaN                NaN                NaN                NaN  1.401873  1.427591  1.315159 0.011919 0.011950 0.011923 2.462736  0.005740  2.510734   0.005939      NaN       NaN
