# Pleiades Stellar Mass Catalogue
#
# Astrometric and photometric catalogue of candidate cluster members.
#
# Coordinate system: ICRS
# Astrometry: Gaia DR3
# Supplementary photometry: UKIDSS where available.
#
# ra            Right ascension (ICRS, J2000)                     deg
# dec           Declination (ICRS, J2000)                         deg
# par           Parallax                                          mas
# epar          Uncertainty in parallax                           mas
# pmra          Proper motion in RA x cos(Dec)                    mas yr^-1
# epmra         Uncertainty in pmra                               mas yr^-1
# pmdec         Proper motion in Declination                      mas yr^-1
# epmdec        Uncertainty in pmdec                              mas yr^-1
# gmag          Gaia G-band apparent magnitude                    mag
# g_flux        Gaia G-band flux                                  e- s^-1
# g_flux_err    Uncertainty in Gaia G-band flux                   e- s^-1
# bmag          Gaia BP-band apparent magnitude                   mag
# b_flux        Gaia BP-band flux                                 e- s^-1
# b_flux_err    Uncertainty in Gaia BP-band flux                  e- s^-1
# rmag          Gaia RP-band apparent magnitude                   mag
# r_flux        Gaia RP-band flux                                 e- s^-1
# r_flux_err    Uncertainty in Gaia RP-band flux                  e- s^-1
# g_r           Gaia G-RP colour                                  mag
# rv            Radial velocity                                   km s^-1
# rv_err        Uncertainty in radial velocity                    km s^-1
# egmag         Uncertainty in G-band magnitude                   mag
# ebmag         Uncertainty in BP-band magnitude                  mag
# ermag         Uncertainty in RP-band magnitude                  mag
# eg_r          Uncertainty in G-RP colour                        mag
# Survey        Source of supplementary infrared photometry       -
# zmag          UKIDSS Z-band magnitude                           mag
# ezmag         Uncertainty in Z-band magnitude                   mag
# ymag          UKIDSS Y-band magnitude                           mag
# eymag         Uncertainty in Y-band magnitude                   mag
# jmag          UKIDSS J-band magnitude                           mag
# ejmag         Uncertainty in J-band magnitude                   mag
# hmag          UKIDSS H-band magnitude                           mag
# ehmag         Uncertainty in H-band magnitude                   mag
# kmag          UKIDSS K-band magnitude                           mag
# ekmag         Uncertainty in K-band magnitude                   mag
# z_y           Z-Y colour                                        mag
# ez_y          Uncertainty in Z-Y colour                         mag
# y_j           Y-J colour                                        mag
# ey_j          Uncertainty in Y-J colour                         mag
# j_h           J-H colour                                        mag
# ej_h          Uncertainty in J-H colour                         mag
# h_k           H-K colour                                        mag
# eh_k          Uncertainty in H-K colour                         mag
# G_ABS         Absolute Gaia G-band magnitude                    mag
# B_ABS         Absolute Gaia BP-band magnitude                   mag
# R_ABS         Absolute Gaia RP-band magnitude                   mag
# eG_ABS        Uncertainty in absolute G magnitude               mag
# eB_ABS        Uncertainty in absolute BP magnitude              mag
# eR_ABS        Uncertainty in absolute RP magnitude              mag
# Mass_pc       Stellar mass from PARSEC isochrones              Msun
# eMass_pc      Uncertainty in PARSEC stellar mass               Msun
# Mass_mst      Stellar mass from MIST isochrones                Msun
# eMass_mst     Uncertainty in MIST stellar mass                 Msun
# Mass_ML       Stellar mass from empirical m-L relation         Msun
# eMass_ML      Uncertainty in empirical stellar mass            Msun
#
# Missing values are represented by NaN.
#
       ra       dec      par      epar      pmra     epmra      pmdec    epmdec      gmag           g_flux     g_flux_err      bmag           b_flux     b_flux_err      rmag           r_flux    r_flux_err       g_r          rv    rv_err    egmag    ebmag    ermag     eg_r Survey      zmag    ezmag      ymag    eymag      jmag             ejmag      hmag             ehmag              kmag             ekmag       z_y     ez_y       y_j              ey_j       j_h              ej_h               h_k              eh_k     G_ABS     B_ABS     R_ABS   eG_ABS   eB_ABS   eR_ABS  Mass_pc  eMass_pc  Mass_mst  eMass_mst  Mass_ML  eMass_ML
50.447836 25.296002 7.262179  0.089374 21.955528  0.106281 -43.530824  0.067799 16.601688      4307.957713       5.286036 18.506208       540.671206      14.024888 15.297502      6027.783455     18.862330  1.304187         NaN       NaN 0.001332 0.028164 0.003398 0.003649      G       NaN      NaN       NaN      NaN       NaN               NaN       NaN               NaN               NaN               NaN       NaN      NaN       NaN               NaN       NaN               NaN               NaN               NaN 10.907023 12.811543  9.602837 0.026757 0.038825 0.026939 0.284407  0.001980  0.242140   0.001851 0.237510  0.027720
49.672212 25.785084 7.504803  1.116602 22.628674  1.122483 -42.526844  0.805961 20.133420       166.562868       1.048481 21.258503        42.856398       8.624335 18.527864       307.618290     12.984842  1.605557         NaN       NaN 0.006834 0.218491 0.045830 0.046337      G       NaN      NaN       NaN      NaN       NaN               NaN       NaN               NaN               NaN               NaN       NaN      NaN       NaN               NaN       NaN               NaN               NaN               NaN 14.510117 15.635200 12.904561 0.323155 0.390027 0.326317      NaN       NaN       NaN        NaN 0.111986  0.011806
49.671082 25.785218 7.199573  0.054328 21.856939  0.059146 -42.817390  0.041108 15.716307      9736.974716       5.929791 17.187510      1821.433884      12.629229 14.533359     12184.703337     21.954134  1.182948         NaN       NaN 0.000661 0.007528 0.001956 0.002065      G       NaN      NaN       NaN      NaN       NaN               NaN       NaN               NaN               NaN               NaN       NaN      NaN       NaN               NaN       NaN               NaN               NaN               NaN 10.002841 11.474044  8.819893 0.016399 0.018032 0.016502 0.402116  0.001080  0.346611   0.001671 0.376203  0.015811
52.047283 26.926862 7.200177  0.251050 20.710539  0.274013 -43.338326  0.182616 18.444439       789.170675       1.970564 20.610281        77.858236      10.515204 17.100830      1145.055450     17.584440  1.343609         NaN       NaN 0.002711 0.146635 0.016673 0.016892    G+U 16.205215 0.005917 15.581573 0.004618 14.914759          0.004608 14.350926          0.005836         13.988770          0.003116  0.623643 0.007506  0.666814          0.006523  0.563832          0.007436          0.362156          0.006616 12.731155 14.896997 11.387546 0.075762 0.165028 0.077527 0.141936  0.002727  0.109451   0.002529 0.131374  0.024019
53.148281 27.060103 7.631255  0.429749 21.661574  0.420503 -47.141562  0.344362 19.387897       330.969321       1.316357 21.162798        46.805586       8.124943 17.981367       508.875164     14.768714  1.406530         NaN       NaN 0.004318 0.188472 0.031511 0.031805    G+U 17.099792 0.010001 16.282300 0.006778 15.494597          0.006381 14.865289          0.008871         14.497348          0.004112  0.817492 0.012082  0.787704          0.009309  0.629308          0.010927          0.367941          0.009778 13.800877 15.575778 12.394347 0.122361 0.224667 0.126280 0.104825  0.003364       NaN        NaN 0.116083  0.014681
53.239942 27.288652 7.349596  0.160942 21.038916  0.169549 -44.945341  0.127483 17.807346      1419.084140       2.294059 19.816582       161.727630      17.168308 16.462720      2060.961870     14.245370  1.344626         NaN       NaN 0.001755 0.115257 0.007505 0.007707    G+U 15.608479 0.004537 15.014080 0.003470 14.362701          0.003516 13.807075          0.003093         13.486088          0.002340  0.594399 0.005712  0.651379          0.004940  0.555626          0.004683          0.320988          0.003878 12.138663 14.147899 10.794037 0.047584 0.124681 0.048140 0.176338  0.002199  0.142335   0.001789 0.156829  0.031147
52.296987 27.164520 7.140113  0.108574 20.160862  0.117557 -43.066688  0.095760 16.671446      4039.881196      11.653359 18.551502       518.580141      12.102985 15.331679      5840.989369     16.177658  1.339767         NaN       NaN 0.003132 0.025340 0.003007 0.004342    G+U 14.524991 0.002858 13.976683 0.002307 13.349422          0.002243       NaN -999999500.000000         12.463798          0.001154  0.548308 0.003673  0.627260          0.003218       NaN -999999500.000000 -999999500.000000 -999999500.000000 10.939971 12.820027  9.600204 0.033168 0.041622 0.033157 0.281072  0.002313  0.237709   0.002146 0.234076  0.025914
52.184115 28.076930 7.606185  0.718975 19.790173  0.881927 -44.506096  0.578810 19.903633       205.822763       1.130520 22.051243        20.649976       4.525014 18.494839       317.119193      7.591075  1.408794         NaN       NaN 0.005964 0.237917 0.025990 0.026665    G+U 17.438650 0.016265 16.596252 0.010335 15.798643          0.009235       NaN -999999500.000000         14.803299          0.005995  0.842398 0.019271  0.797609          0.013860       NaN -999999500.000000 -999999500.000000 -999999500.000000 14.309467 16.457077 12.900673 0.205345 0.314222 0.206897      NaN       NaN       NaN        NaN 0.106011  0.013040
51.839378 27.864243 7.182694  0.040291 21.226976  0.041988 -43.200279  0.036936 15.232319     15206.146799      18.138315 16.635420      3028.648532      14.240983 14.068383     18698.427832     43.074497  1.163936         NaN       NaN 0.001295 0.005105 0.002501 0.002817      G       NaN      NaN       NaN      NaN       NaN               NaN       NaN               NaN               NaN               NaN       NaN      NaN       NaN               NaN       NaN               NaN               NaN               NaN  9.513756 10.916857  8.349820 0.012249 0.013207 0.012435 0.457382  0.000672  0.406504   0.001777 0.437106  0.012601
50.790513 25.699302 7.540263  0.013482 23.012437  0.014944 -44.678889  0.012819 12.782557    145185.656989     137.773150 13.472001     55797.719676     190.032970 11.978669    128141.721731    285.814420  0.803888    2.918518  1.976979 0.001030 0.003698 0.002422 0.002632      G       NaN      NaN       NaN      NaN       NaN               NaN       NaN               NaN               NaN               NaN       NaN      NaN       NaN               NaN       NaN               NaN               NaN               NaN  7.169490  7.858933  6.365601 0.004017 0.005362 0.004576 0.700942  0.000309  0.697856   0.000558 0.725961  0.004718
52.861404 27.326560 7.205456  0.051962 21.026229  0.044863 -43.595746  0.036554 15.543323     11418.730477      12.232180 16.983023      2198.913717      14.968423 14.370140     14161.265374     33.123978  1.173183    4.532347  7.701855 0.001163 0.007391 0.002540 0.002793    G+U 13.638337 0.001844 13.248610 0.001602 12.698812          0.001651       NaN -999999500.000000         11.844927          0.000816  0.389728 0.002443  0.549798          0.002300       NaN -999999500.000000 -999999500.000000 -999999500.000000  9.831630 11.271330  8.658447 0.015703 0.017316 0.015864 0.421238  0.001009  0.368553   0.003116 0.398458  0.015474
