# Praesepe Stellar Mass Catalogue
#
# Astrometric and photometric catalogue of candidate cluster members.
#
# Coordinate system: ICRS
# Astrometry: Gaia DR3
# Supplementary photometry: UKIDSS where available.
#
# ra            Right ascension (ICRS, J2000)                     deg
# dec           Declination (ICRS, J2000)                         deg
# par           Parallax                                          mas
# epar          Uncertainty in parallax                           mas
# pmra          Proper motion in RA x cos(Dec)                    mas yr^-1
# epmra         Uncertainty in pmra                               mas yr^-1
# pmdec         Proper motion in Declination                      mas yr^-1
# epmdec        Uncertainty in pmdec                              mas yr^-1
# gmag          Gaia G-band apparent magnitude                    mag
# g_flux        Gaia G-band flux                                  e- s^-1
# g_flux_err    Uncertainty in Gaia G-band flux                   e- s^-1
# bmag          Gaia BP-band apparent magnitude                   mag
# b_flux        Gaia BP-band flux                                 e- s^-1
# b_flux_err    Uncertainty in Gaia BP-band flux                  e- s^-1
# rmag          Gaia RP-band apparent magnitude                   mag
# r_flux        Gaia RP-band flux                                 e- s^-1
# r_flux_err    Uncertainty in Gaia RP-band flux                  e- s^-1
# g_r           Gaia G-RP colour                                  mag
# rv            Radial velocity                                   km s^-1
# rv_err        Uncertainty in radial velocity                    km s^-1
# egmag         Uncertainty in G-band magnitude                   mag
# ebmag         Uncertainty in BP-band magnitude                  mag
# ermag         Uncertainty in RP-band magnitude                  mag
# eg_r          Uncertainty in G-RP colour                        mag
# Survey        Source of supplementary infrared photometry       -
# zmag          UKIDSS Z-band magnitude                           mag
# ezmag         Uncertainty in Z-band magnitude                   mag
# ymag          UKIDSS Y-band magnitude                           mag
# eymag         Uncertainty in Y-band magnitude                   mag
# jmag          UKIDSS J-band magnitude                           mag
# ejmag         Uncertainty in J-band magnitude                   mag
# hmag          UKIDSS H-band magnitude                           mag
# ehmag         Uncertainty in H-band magnitude                   mag
# kmag          UKIDSS K-band magnitude                           mag
# ekmag         Uncertainty in K-band magnitude                   mag
# z_y           Z-Y colour                                        mag
# ez_y          Uncertainty in Z-Y colour                         mag
# y_j           Y-J colour                                        mag
# ey_j          Uncertainty in Y-J colour                         mag
# j_h           J-H colour                                        mag
# ej_h          Uncertainty in J-H colour                         mag
# h_k           H-K colour                                        mag
# eh_k          Uncertainty in H-K colour                         mag
# G_ABS         Absolute Gaia G-band magnitude                    mag
# B_ABS         Absolute Gaia BP-band magnitude                   mag
# R_ABS         Absolute Gaia RP-band magnitude                   mag
# eG_ABS        Uncertainty in absolute G magnitude               mag
# eB_ABS        Uncertainty in absolute BP magnitude              mag
# eR_ABS        Uncertainty in absolute RP magnitude              mag
# Mass_pc       Stellar mass from PARSEC isochrones              Msun
# eMass_pc      Uncertainty in PARSEC stellar mass               Msun
# Mass_mst      Stellar mass from MIST isochrones                Msun
# eMass_mst     Uncertainty in MIST stellar mass                 Msun
# Mass_ML       Stellar mass from empirical m-L relation         Msun
# eMass_ML      Uncertainty in empirical stellar mass            Msun
#
# Missing values are represented by NaN.
#
        ra       dec      par     epar       pmra    epmra      pmdec   epmdec      gmag          g_flux   g_flux_err      bmag          b_flux   b_flux_err      rmag          r_flux   r_flux_err      g_r          rv    rv_err    egmag    ebmag    ermag     eg_r Survey      zmag    ezmag      ymag    eymag      jmag              ejmag      hmag              ehmag      kmag    ekmag       z_y     ez_y       y_j               ey_j       j_h               ej_h                h_k               eh_k     G_ABS     B_ABS     R_ABS   eG_ABS   eB_ABS   eR_ABS  Mass_pc  eMass_pc  Mass_mst  eMass_mst  Mass_ML  eMass_ML
127.550384 23.226909 5.034646 0.083093 -37.563354 0.085540 -10.531830 0.062139 12.180445   252795.286421    50.599220 12.641562   119892.421685    79.087050 11.554500   189390.514685    79.657646 0.625945   15.145861  2.263890 0.000217 0.000716 0.000457 0.000506      G       NaN      NaN       NaN      NaN       NaN                NaN       NaN                NaN       NaN      NaN       NaN      NaN       NaN                NaN       NaN                NaN                NaN                NaN  5.690290  6.151407  5.064345 0.035839 0.035846 0.035841 0.890830  0.003171  0.871102   0.002860 0.865047  0.004086
131.331015 16.119386 5.004425 0.247862 -36.604666 0.242245  -9.785969 0.168456 18.830614      552.969237     1.034031 20.639961       75.758619     6.469626 17.514305      782.412804     7.236498 1.316309         NaN       NaN 0.002030 0.092720 0.010042 0.010245      G       NaN      NaN       NaN      NaN       NaN                NaN       NaN                NaN       NaN      NaN       NaN      NaN       NaN                NaN       NaN                NaN                NaN                NaN 12.327385 14.136732 11.011076 0.107569 0.142000 0.108018 0.208239  0.004244  0.155584   0.003300 0.152851  0.024911
131.808663 16.396433 5.446356 0.019699 -37.488370 0.020192 -10.709897 0.016215 10.511785  1175527.927114   518.995060 10.803334   651753.270191   870.917100 10.061927   748837.269150   703.648860 0.449858   34.185450  0.457242 0.000479 0.001451 0.001020 0.001127      G       NaN      NaN       NaN      NaN       NaN                NaN       NaN                NaN       NaN      NaN       NaN      NaN       NaN                NaN       NaN                NaN                NaN                NaN  4.192315  4.483864  3.742457 0.007869 0.007987 0.007920 1.160238  0.000942  1.135151   0.000874 1.100433  0.003987
127.324046 17.703127 5.372185 0.052448 -34.192016 0.059372 -12.651943 0.040819 15.877312     8395.026878     6.087544 17.424610     1464.106783    13.088695 14.669639    10747.383531    27.478460 1.207673         NaN       NaN 0.000787 0.009706 0.002776 0.002885    G+U 13.890604 0.002041 13.465772 0.001699 12.932036           0.001717 12.375223           0.001263 12.033125 0.000982  0.424832 0.002656  0.533735           0.002416  0.556813           0.002131           0.342098           0.001599  9.528067 11.075365  8.320394 0.021214 0.023316 0.021381 0.473912  0.001323  0.395917   0.002612 0.405507  0.018805
127.774982 18.129909 5.488229 0.163180 -34.678241 0.147080 -12.507790 0.119935 18.011702     1175.617407     1.890170 19.875881      153.131525     7.407819 16.714483     1634.423490     9.365489 1.297218         NaN       NaN 0.001746 0.052523 0.006221 0.006462    G+U 15.909965 0.005715 15.393347 0.004542 14.760015           0.004310 14.216388           0.003756 13.895592 0.003150  0.516618 0.007300  0.633332           0.006262  0.543627           0.005717           0.320796           0.004902 11.708863 13.573042 10.411644 0.064587 0.083230 0.064863 0.249866  0.002777  0.190974   0.002856 0.180282  0.024996
127.803841 18.153596 5.500166 0.016895 -35.209246 0.015973 -12.246738 0.012403  9.753200  2364104.982575   440.509770  9.983325  1387033.739337   590.530600  9.368098  1418791.923738   388.846440 0.385101   37.291230  0.646988 0.000202 0.000462 0.000298 0.000360    G+H       NaN      NaN       NaN      NaN       NaN                NaN       NaN                NaN       NaN      NaN       NaN      NaN       NaN                NaN       NaN                NaN                NaN                NaN  3.455079  3.685204  3.069977 0.006673 0.006686 0.006677 1.327807  0.000937  1.303589   0.001493 1.283345  0.002715
127.524836 18.279470 5.244873 0.220095 -33.897723 0.206641 -11.252479 0.150508 18.394169      826.569859     1.510819 20.293500      104.235743     9.849154 17.077911     1169.481736     9.414941 1.316258         NaN       NaN 0.001985 0.102590 0.008741 0.008963    G+U 16.220226 0.006942 15.712843 0.005492 15.128134           0.005268 14.558518           0.005056 14.211393 0.004210  0.507383 0.008852  0.584709           0.007610  0.569615           0.007302           0.347125           0.006579 11.992844 13.892175 10.676586 0.091145 0.137216 0.091542 0.229044  0.004267  0.173338   0.003736 0.163730  0.030568
127.335605 18.179333 5.673448 0.074157 -35.649392 0.078436 -13.312020 0.051619 16.962389     3090.231637     4.378681 18.676102      462.355623     9.845764 15.706816     4134.583157    17.423560 1.255573         NaN       NaN 0.001538 0.023121 0.004575 0.004827    G+U 14.894432 0.003321 14.409276 0.002733 13.866763           0.002726 13.267953           0.002121 12.956600 0.001742  0.485156 0.004301  0.542513           0.003860  0.598810           0.003454           0.311353           0.002745 10.731624 12.445337  9.476051 0.028425 0.036608 0.028749 0.346137  0.001982  0.276721   0.001864 0.260837  0.026018
127.652612 18.377215 5.415530 0.129891 -33.765772 0.125963 -12.486549 0.087565 17.655489     1632.117470     1.935564 19.715302      177.540070     7.378213 16.313023     2365.643867    13.736150 1.342466         NaN       NaN 0.001288 0.045121 0.006304 0.006434    G+U 15.415214 0.004321 14.926961 0.003496 14.276344           0.003310 13.712569           0.002725 13.349115 0.002105  0.488253 0.005558  0.650617           0.004814  0.563775           0.004287           0.363454           0.003443 11.323694 13.383507  9.981228 0.052098 0.068909 0.052463 0.280635  0.003325  0.217112   0.002757 0.188996  0.026854
127.461701 18.399040 5.383314 0.296571 -34.825540 0.291184 -12.674637 0.211030 19.009142      469.126601     0.989036 20.955130       56.671562     5.184852 17.669313      678.317432     7.458056 1.339829         NaN       NaN 0.002289 0.099333 0.011938 0.012155    G+U 16.764614 0.009767 16.179901 0.007339 15.518516           0.006698 14.974139           0.006964 14.645515 0.005949  0.584713 0.012217  0.661386           0.009936  0.544376           0.009663           0.328624           0.009159 12.664390 14.610378 11.324561 0.119650 0.155493 0.120222 0.187672  0.003870  0.140210   0.002636 0.135870  0.020439
